IdCliente;Fecha Nacimiento;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Crédito Hipotecario;Tiene Crédito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
60;01-03-1940;Jubilado;Casado;Enseñanza Media;No;0;No;No;Celular;0;No
61;01-03-1941;Jubilado;Divorciado;Enseñanza Básica;No;46000;No;No;Celular;0;No
62;01-03-1948;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;0;No
63;01-03-1942;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;0;No
64;02-03-1948;Trabajador Dependiente;Casado;Enseñanza Básica;No;2140000;No;No;Fono Particular;0;No
65;02-03-1945;Jubilado;Casado;Técnico Profesional;No;211000;No;No;Fono Particular;0;No
66;02-03-1941;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;1;No
67;02-03-1949;Jubilado;Casado;Universitario;No;278000;No;No;Celular;0;No
68;02-03-1949;Jubilado;Casado;Universitario;No;8603000;No;No;Celular;0;Si
69;02-03-1947;Jubilado;Divorciado;Universitario;No;1419000;No;No;Fono Particular;0;No
70;02-03-1945;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;1;No
71;02-03-1941;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Celular;1;No
72;02-03-1941;Jubilado;Casado;Universitario;No;243000;No;No;Celular;2;No
73;02-03-1945;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;4;Si
74;02-03-1945;Jubilado;Casado;Enseñanza Media;No;121000;No;No;Fono Particular;0;No
75;02-03-1942;Jubilado;Divorciado;Universitario;No;928000;No;No;Fono Particular;3;No
76;02-03-1941;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
77;02-03-1947;Jubilado;Casado;Universitario;No;276000;No;No;Fono Particular;0;No
78;02-03-1941;Técnico;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
79;02-03-1945;Jubilado;Casado;Universitario;No;103000;No;No;Celular;0;No
80;02-03-1949;Jubilado;Casado;Universitario;No;8603000;No;No;Celular;1;Si
81;02-03-1945;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;0;No
82;02-03-1941;Jubilado;Divorciado;Universitario;No;0;No;No;Fono Particular;0;No
83;03-03-1942;Jubilado;Casado;Universitario;No;5220000;No;No;Fono Particular;2;Si
84;03-03-1942;Jubilado;Casado;Universitario;No;243000;No;No;Celular;0;No
85;03-03-1950;Jubilado;Divorciado;Técnico Profesional;No;9224000;No;No;Fono Particular;0;No
86;03-03-1945;Jubilado;Casado;Enseñanza Media;No;93000;No;No;Celular;0;No
87;03-03-1944;Jubilado;Divorciado;Universitario;No;452000;No;No;Fono Particular;0;Si
88;03-03-1948;Jubilado;Divorciado;Universitario;No;519000;No;No;Fono Particular;0;No
89;03-03-1942;Jubilado;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
90;03-03-1942;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
91;03-03-1943;Jubilado;Casado;Enseñanza Media;No;1000;No;No;Celular;0;No
92;03-03-1942;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
93;03-03-1943;Jubilado;Divorciado;Universitario;No;4321000;No;No;Celular;0;No
94;03-03-1946;Jubilado;Divorciado;Universitario;No;949000;No;No;Celular;1;Si
95;03-03-1944;Jubilado;Casado;Universitario;No;1154000;No;No;Fono Particular;0;Si
96;03-03-1942;Jubilado;Casado;Universitario;No;243000;No;No;Celular;1;No
97;03-03-1942;Jubilado;Divorciado;Universitario;No;0;No;No;Celular;0;No
98;03-03-1942;Trabajador Dependiente;Casado;Universitario;No;0;No;No;Celular;0;No
99;03-03-1947;Jubilado;Casado;Universitario;No;122000;No;No;Fono Particular;0;No
100;04-03-1945;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;2;No
101;04-03-1949;Jubilado;Casado;Universitario;No;3669000;No;No;Celular;0;No
102;04-03-1944;Jubilado;Casado;Universitario;No;1468000;No;No;Celular;0;Si
103;04-03-1950;Jubilado;Casado;Universitario;No;997000;No;No;Celular;3;Si
104;04-03-1944;Jubilado;Divorciado;Universitario;No;235000;No;No;Celular;3;No
105;04-03-1949;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;11;No
106;04-03-1947;Trabajador Dependiente;Casado;Universitario;No;499000;No;No;Fono Particular;4;No
107;04-03-1945;Jubilado;Divorciado;Universitario;No;5861000;No;No;Fono Particular;0;No
108;04-03-1945;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;3;No
109;04-03-1943;Jubilado;Casado;Universitario;No;594000;No;No;Fono Particular;0;No
110;04-03-1947;Jubilado;Casado;Universitario;No;1021000;No;No;Fono Particular;0;No
111;04-03-1950;Jubilado;Casado;Universitario;No;1861000;No;No;Fono Particular;0;No
112;04-03-1949;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;13;Si
113;04-03-1947;Jubilado;Casado;Técnico Profesional;No;355000;No;No;Fono Particular;0;No
114;04-03-1951;Jubilado;Casado;Universitario;No;1610000;No;No;Celular;0;No
115;04-03-1945;Jubilado;Casado;Enseñanza Media;No;2000;No;No;Fono Particular;0;No
116;04-03-1946;Gerente;Casado;Universitario;No;6483000;No;No;Fono Particular;0;No
117;04-03-1943;Jubilado;Casado;Universitario;No;1548000;No;No;Celular;0;No
118;04-03-1949;Jubilado;Casado;Universitario;No;2994000;No;No;Celular;0;No
119;04-03-1945;Jubilado;Casado;Universitario;No;2954000;No;No;Celular;0;No
120;04-03-1945;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;0;No
121;04-03-1946;Jubilado;Casado;Universitario;No;462000;No;No;Celular;0;No
122;04-03-1949;Jubilado;Casado;Enseñanza Media;No;87000;No;No;Fono Particular;0;No
123;04-03-1950;Jubilado;Casado;Universitario;No;997000;No;No;Celular;1;Si
124;04-03-1943;Trabajador Dependiente;Casado;Enseñanza Básica;No;0;No;No;Celular;1;No
125;04-03-1948;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;2;Si
126;04-03-1944;Jubilado;Casado;Universitario;No;1468000;No;No;Celular;3;No
127;04-03-1945;Jubilado;Casado;Universitario;No;668000;No;No;Fono Particular;1;Si
128;04-03-1948;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;3;No
129;04-03-1945;Jubilado;Casado;Universitario;No;173000;No;No;Celular;0;No
130;04-03-1949;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;12;Si
131;05-03-1945;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;3;No
132;05-03-1944;Jubilado;Divorciado;Técnico Profesional;No;2628000;No;No;Fono Particular;2;No
133;05-03-1950;Jubilado;Divorciado;Universitario;No;2787000;No;No;Fono Particular;1;Si
134;05-03-1948;Jubilado;Casado;Universitario;No;4738000;No;No;Fono Particular;0;No
135;05-03-1945;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;1;No
136;05-03-1946;Jubilado;Divorciado;Universitario;No;1910000;No;No;Fono Particular;0;No
137;05-03-1950;Jubilado;Casado;Universitario;No;2661000;No;No;Celular;0;Si
138;05-03-1950;Jubilado;Casado;Universitario;No;8304000;No;No;Celular;9;Si
139;05-03-1945;Jubilado;Casado;Universitario;No;3025000;No;No;Celular;3;Si
140;05-03-1944;Jubilado;Casado;Universitario;No;909000;No;No;Celular;1;No
141;05-03-1947;Jubilado;Casado;Universitario;No;723000;No;No;Fono Particular;3;Si
142;05-03-1951;Jubilado;Divorciado;Enseñanza Básica;No;79000;No;No;Celular;0;No
143;05-03-1949;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;0;No
144;05-03-1944;Trabajador Dependiente;Casado;Enseñanza Básica;No;0;No;No;Celular;0;No
145;05-03-1947;Jubilado;Divorciado;Universitario;No;336000;No;No;Celular;1;No
146;05-03-1951;Jubilado;Casado;Universitario;No;3481000;No;No;Fono Particular;0;No
147;05-03-1949;Jubilado;Casado;Universitario;No;1058000;No;No;Fono Particular;0;No
148;05-03-1946;Jubilado;Divorciado;Enseñanza Básica;No;20000;No;No;Celular;1;No
149;05-03-1950;Jubilado;Casado;Universitario;No;8556000;No;No;Fono Particular;2;Si
150;05-03-1947;Jubilado;Casado;Universitario;No;723000;No;No;Fono Particular;0;No
151;05-03-1946;Jubilado;Casado;Universitario;No;668000;No;No;Fono Particular;0;Si
152;05-03-1950;Jubilado;Casado;Universitario;No;429000;No;No;Fono Particular;0;Si
153;05-03-1944;Jubilado;Casado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
154;05-03-1945;Jubilado;Casado;Universitario;No;3025000;No;No;Fono Particular;6;No
155;05-03-1950;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;0;Si
156;06-03-1949;Trabajador Dependiente;Casado;Universitario;No;499000;No;No;Fono Particular;0;No
157;06-03-1951;Jubilado;Casado;Universitario;No;8556000;No;No;Fono Particular;0;Si
158;06-03-1951;Jubilado;Casado;Universitario;No;240000;No;No;Celular;0;No
159;06-03-1953;Jubilado;Divorciado;Universitario;No;1016000;No;No;Celular;0;No
160;06-03-1951;Jubilado;Divorciado;Universitario;No;2787000;No;No;Fono Particular;0;Si
161;06-03-1946;Jubilado;Casado;Técnico Profesional;No;4807000;No;No;Fono Particular;4;Si
162;06-03-1948;Jubilado;Divorciado;Universitario;No;1389000;No;No;Celular;0;Si
163;06-03-1949;Jubilado;Casado;Técnico Profesional;No;3208000;No;No;Fono Particular;0;Si
164;06-03-1949;Jubilado;Casado;Universitario;No;832000;No;No;Fono Particular;0;No
165;06-03-1951;Jubilado;Divorciado;Universitario;No;3417000;No;No;Celular;1;Si
166;06-03-1950;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;9;No
167;06-03-1948;Jubilado;Divorciado;Universitario;No;4917000;No;No;Celular;0;No
168;06-03-1953;Jubilado;Casado;Universitario;No;2735000;No;No;Fono Particular;0;No
169;06-03-1950;Jubilado;Casado;Universitario;No;158000;No;No;Celular;0;No
170;06-03-1948;Trabajador Dependiente;Casado;Universitario;No;2235000;No;No;Fono Particular;0;Si
171;06-03-1945;Jubilado;Divorciado;Técnico Profesional;No;2628000;No;No;Fono Particular;0;No
172;06-03-1952;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;7;Si
173;06-03-1947;Jubilado;Casado;Universitario;No;14204000;No;No;Celular;1;No
174;06-03-1950;Jubilado;Divorciado;Universitario;No;527000;No;No;Celular;0;Si
175;06-03-1946;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;0;No
176;06-03-1949;Jubilado;Casado;Universitario;No;220000;No;No;Celular;0;No
177;06-03-1945;Jubilado;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
178;06-03-1949;Jubilado;Casado;Universitario;No;301000;No;No;Celular;0;No
179;06-03-1946;Jubilado;Casado;Universitario;No;226000;No;No;Fono Particular;0;No
180;06-03-1946;Jubilado;Divorciado;Enseñanza Básica;No;55000;No;No;Fono Particular;1;No
181;06-03-1949;Jubilado;Divorciado;Universitario;No;229000;No;No;Fono Particular;0;No
182;06-03-1946;Jubilado;Casado;Técnico Profesional;No;4807000;No;No;Fono Particular;0;Si
183;06-03-1952;Jubilado;Casado;Universitario;No;1204000;No;No;Fono Particular;0;Si
184;06-03-1951;Jubilado;Divorciado;Universitario;No;3219000;No;No;Celular;0;Si
185;06-03-1947;Jubilado;Casado;Técnico Profesional;No;38000;No;No;Fono Particular;3;No
186;07-03-1954;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;3;Si
187;07-03-1946;Jubilado;Casado;Universitario;No;2223000;No;No;Fono Particular;1;No
188;07-03-1953;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;20;Si
189;07-03-1949;Jubilado;Casado;Universitario;No;1047000;No;No;Celular;0;No
190;07-03-1951;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;7;No
191;07-03-1953;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;15;No
192;07-03-1954;Jubilado;Casado;Universitario;No;638000;No;No;Celular;1;Si
193;07-03-1953;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;12;Si
194;07-03-1952;Jubilado;Divorciado;Universitario;No;3417000;No;No;Celular;0;Si
195;07-03-1953;Jubilado;Casado;Técnico Profesional;No;1807000;No;No;Fono Particular;0;Si
196;07-03-1953;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;3;Si
197;07-03-1951;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;0;No
198;07-03-1951;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;3;No
199;07-03-1954;Jubilado;Casado;Universitario;No;989000;No;No;Fono Particular;0;No
200;07-03-1950;Jubilado;Casado;Universitario;No;121000;No;No;Fono Particular;0;No
201;07-03-1949;Jubilado;Soltero;Universitario;No;300000;No;No;Celular;0;No
202;07-03-1946;Jubilado;Divorciado;Enseñanza Media;No;0;No;No;Celular;0;No
203;07-03-1954;Jubilado;Casado;Universitario;No;638000;No;No;Celular;0;Si
204;07-03-1946;Jubilado;Casado;Universitario;No;0;No;No;Celular;1;No
205;07-03-1952;Jubilado;Casado;Universitario;No;699000;No;No;Celular;0;Si
206;07-03-1953;Jubilado;Casado;Universitario;No;610000;No;No;Celular;0;No
207;07-03-1946;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
208;07-03-1953;Jubilado;Casado;Universitario;No;1492000;No;No;Fono Particular;2;No
209;07-03-1946;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
210;07-03-1954;Jubilado;Casado;Universitario;No;1385000;No;No;Fono Particular;0;No
211;07-03-1947;Técnico;Casado;Técnico Profesional;No;397000;No;No;Fono Particular;3;No
212;07-03-1948;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;12;No
213;07-03-1947;Jubilado;Casado;Universitario;No;820000;No;No;Fono Particular;4;Si
214;07-03-1952;Jubilado;Divorciado;Universitario;No;4659000;No;No;Celular;0;Si
215;07-03-1949;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;5;Si
216;07-03-1947;Técnico;Casado;Técnico Profesional;No;397000;No;No;Fono Particular;0;Si
217;07-03-1949;Gerente;Casado;Universitario;No;5619000;No;No;Celular;0;No
218;07-03-1954;Jubilado;Casado;Universitario;No;7802000;No;No;Fono Particular;2;Si
219;07-03-1953;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;5;Si
220;07-03-1948;Jubilado;Casado;Técnico Profesional;No;992000;No;No;Celular;2;No
221;07-03-1948;Jubilado;Casado;Técnico Profesional;No;38000;No;No;Fono Particular;0;No
222;07-03-1954;Jubilado;Casado;Universitario;No;2123000;No;No;Fono Particular;0;No
223;07-03-1954;Jubilado;Casado;Universitario;No;7802000;No;No;Fono Particular;0;Si
224;07-03-1954;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;2;Si
225;07-03-1946;Jubilado;Divorciado;Universitario;No;639000;No;No;Fono Particular;0;No
226;07-03-1953;Jubilado;Casado;Universitario;No;9601000;No;No;Fono Particular;0;Si
227;07-03-1948;Jubilado;Casado;Universitario;No;1208000;No;No;Fono Particular;0;No
228;07-03-1946;Jubilado;Casado;Universitario;No;29340000;No;No;Celular;2;Si
229;07-03-1946;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
230;08-03-1948;Jubilado;Divorciado;Universitario;No;802000;No;No;Celular;5;Si
231;08-03-1954;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Fono Particular;0;Si
232;08-03-1954;Jubilado;Divorciado;Universitario;No;3049000;No;No;Celular;0;Si
233;08-03-1950;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;2;No
234;08-03-1953;Jubilado;Casado;Universitario;No;852000;No;No;Fono Particular;0;No
235;08-03-1947;Jubilado;Casado;Universitario;No;2223000;No;No;Fono Particular;0;Si
236;08-03-1947;Jubilado;Casado;Técnico Profesional;No;8919000;No;No;Celular;0;No
237;08-03-1949;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;2;No
238;08-03-1948;Jubilado;Casado;Universitario;No;820000;No;No;Fono Particular;0;Si
239;08-03-1954;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;1;Si
240;08-03-1954;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;0;No
241;08-03-1954;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1411000;No;No;Fono Particular;0;Si
242;08-03-1947;Jubilado;Casado;Universitario;No;0;No;No;Fono Particular;0;No
243;08-03-1950;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;1;Si
244;08-03-1952;Jubilado;Divorciado;Enseñanza Básica;No;86000;No;No;Celular;0;No
245;08-03-1948;Jubilado;Casado;Universitario;No;163000;No;No;Fono Particular;0;No
246;08-03-1954;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1411000;No;No;Fono Particular;3;Si
247;08-03-1955;Jubilado;Casado;Universitario;No;242000;No;No;Fono Particular;0;No
248;08-03-1948;Jubilado;Divorciado;Universitario;No;802000;No;No;Celular;0;Si
249;08-03-1951;Jubilado;Casado;Universitario;No;2632000;No;No;Celular;0;No
250;08-03-1950;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;1;Si
251;08-03-1955;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;0;Si
252;08-03-1949;Jubilado;Casado;Técnico Profesional;No;992000;No;No;Celular;0;No
253;08-03-1949;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;0;Si
254;08-03-1954;Jubilado;Casado;Universitario;No;1492000;No;No;Fono Particular;0;Si
255;08-03-1954;Jubilado;Casado;Universitario;No;2302000;No;No;Fono Particular;0;No
256;08-03-1950;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;3;Si
257;08-03-1947;Jubilado;Casado;Universitario;No;0;No;No;Fono Particular;1;No
258;08-03-1954;Jubilado;Casado;Universitario;No;2302000;No;No;Fono Particular;2;No
259;08-03-1950;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;4;Si
260;08-03-1954;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;2;No
261;08-03-1954;Trabajador Dependiente;Casado;Enseñanza Básica;No;1483000;No;No;Celular;0;No
262;09-03-1951;Jubilado;Casado;Universitario;No;291000;No;No;Celular;2;No
263;09-03-1951;Jubilado;Casado;Universitario;No;3504000;No;No;Fono Particular;0;No
264;09-03-1956;Jubilado;Casado;Universitario;No;962000;No;No;Celular;0;No
265;09-03-1948;Jubilado;Casado;Universitario;No;468000;No;No;Fono Particular;0;No
266;09-03-1953;Trabajador Dependiente;Casado;Universitario;No;6053000;No;No;Celular;1;No
267;09-03-1951;Jubilado;Casado;Universitario;No;291000;No;No;Celular;1;No
268;09-03-1955;Jubilado;Casado;Técnico Profesional;No;7819000;No;No;Celular;4;No
269;09-03-1950;Jubilado;Divorciado;Universitario;No;37127000;No;No;Celular;0;No
270;09-03-1951;Jubilado;Divorciado;Universitario;No;2199000;No;No;Fono Particular;0;No
271;09-03-1948;Jubilado;Casado;Universitario;No;324000;No;No;Fono Particular;4;No
272;09-03-1954;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;2;Si
273;09-03-1955;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;0;Si
274;09-03-1948;Jubilado;Divorciado;Universitario;No;1341000;No;No;Celular;0;Si
275;09-03-1949;Jubilado;Casado;Universitario;No;26452000;No;No;Fono Particular;0;No
276;09-03-1949;Jubilado;Casado;Universitario;No;5491000;No;No;Fono Particular;0;No
277;09-03-1952;Trabajador Dependiente;Casado;Universitario;No;643000;No;No;Celular;0;No
278;09-03-1948;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;1;Si
279;09-03-1953;Trabajador Dependiente;Casado;Universitario;No;6053000;No;No;Fono Particular;0;No
280;09-03-1948;Jubilado;Casado;Universitario;No;2970000;No;No;Celular;0;Si
281;09-03-1948;Jubilado;Casado;Universitario;No;1413000;No;No;Celular;2;Si
282;09-03-1951;Jubilado;Divorciado;Universitario;No;3810000;Si;No;Celular;1;Si
283;09-03-1951;Jubilado;Divorciado;Universitario;No;1092000;No;No;Fono Particular;2;No
284;09-03-1955;Jubilado;Casado;Universitario;No;4912000;No;No;Fono Particular;5;No
285;09-03-1948;Jubilado;Divorciado;Universitario;No;1926000;No;No;Celular;5;No
286;09-03-1954;Jubilado;Divorciado;Universitario;No;852000;No;No;Celular;1;No
287;09-03-1949;Jubilado;Casado;Universitario;No;1765000;No;No;Fono Particular;4;Si
288;09-03-1949;Jubilado;Divorciado;Enseñanza Básica;No;46000;No;No;Celular;0;No
289;09-03-1951;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;0;No
290;09-03-1954;Jubilado;Divorciado;Enseñanza Media;No;105000;No;No;Celular;0;No
291;09-03-1950;Jubilado;Divorciado;Universitario;No;3881000;Si;No;Celular;0;Si
292;09-03-1955;Jubilado;Casado;Universitario;No;358000;No;No;Celular;0;No
293;09-03-1951;Jubilado;Casado;Universitario;No;1470000;No;No;Fono Particular;0;No
294;09-03-1948;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;2;Si
295;09-03-1954;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;4;Si
296;09-03-1951;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;0;Si
297;09-03-1952;Trabajador Dependiente;Casado;Técnico Profesional;No;1093000;No;No;Celular;0;No
298;09-03-1948;Jubilado;Divorciado;Enseñanza Básica;No;18000;No;No;Celular;0;No
299;09-03-1949;Jubilado;Casado;Universitario;No;1765000;No;No;Fono Particular;2;No
300;09-03-1954;Jubilado;Divorciado;Universitario;No;852000;No;No;Celular;0;No
301;10-03-1956;Jubilado;Casado;Universitario;No;1843000;No;No;Celular;2;Si
302;10-03-1953;Jubilado;Casado;Universitario;No;670000;No;No;Celular;0;Si
